Per-Class IoU Report
               Class      IoU     Dice     Prec   Recall       F1    Support
----------------------------------------------------------------------------
          background   43.37%   60.50%   80.24%   48.55%   60.50%      88173
                skin   27.55%   43.20%   43.17%   43.22%   43.20%      82564
              l_brow    0.00%    0.00%    0.00%    0.00%    0.00%        971
              r_brow    0.00%    0.00%    0.00%    0.00%    0.00%       3184
               l_eye    0.00%    0.00%    0.00%    0.00%    0.00%        218
               r_eye    0.00%    0.00%    0.00%    0.00%    0.00%       1965
               eye_g    0.00%    0.00%    0.00%    0.00%    0.00%          0
               l_ear    0.00%    0.00%    0.00%    0.00%    0.00%          0
               r_ear    0.00%    0.00%    0.00%    0.00%    0.00%       5784
               ear_r    0.00%    0.00%    0.00%    0.00%    0.00%          2
                nose    0.00%    0.00%    0.00%    0.00%    0.00%       9272
               mouth    0.00%    0.00%    0.00%    0.00%    0.00%          0
               u_lip    0.00%    0.00%    0.00%    0.00%    0.00%          0
               l_lip    0.00%    0.00%    0.00%    0.00%    0.00%          0
                neck    0.00%    0.00%    0.00%    0.00%    0.00%          0
              neck_l    0.00%    0.00%    0.00%    0.00%    0.00%          0
               cloth    0.00%    0.00%    0.00%    0.00%    0.00%          0
                hair   18.34%   30.99%   26.65%   37.02%   30.99%      70011
                 hat    0.00%    0.00%    0.00%    0.00%    0.00%          0
