 Channel Class                       Min        Max       Mean        Std
----------------------------------------------------------------------
       0 background              -5.6433    12.3669     2.6356     3.6481
       1 skin                    -4.3070    13.1114     2.4424     3.7368
       2 l_brow                  -4.0448    10.8281    -0.8847     1.6370
       3 r_brow                  -6.0132    10.7765    -1.1419     1.5200
       4 l_eye                   -4.3658    10.4393    -1.3106     1.2528
       5 r_eye                   -4.5563    10.5940    -1.5098     1.1842
       6 eye_g                   -4.5490     3.1430    -0.7623     1.1563
       7 l_ear                   -4.3820     9.2305    -0.5653     1.5603
       8 r_ear                   -4.7896     8.0321    -0.9385     1.1737
       9 ear_r                   -3.0716     9.9567     0.1491     1.5851
      10 nose                    -3.2389    12.3816    -0.2870     2.1782
      11 mouth                   -4.7044     7.0059    -1.6289     0.9270
      12 u_lip                   -3.8833    11.1226    -1.2479     1.3396
      13 l_lip                   -5.2784    10.6573    -1.1480     1.4630
      14 neck                    -3.9973    10.1884     0.0303     2.1892
      15 neck_l                  -4.0103     4.0723    -0.7439     1.0362
      16 cloth                   -5.4855     8.5494     1.6692     2.5327
      17 hair                    -3.8688    11.4619     4.6320     3.0654
      18 hat                     -3.9997     5.5748     0.6858     1.7518
